기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	비알콜 음료점업	비알콜 음료점업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	셔츠 및 외의 도매업	셔츠 및 외의 도매업	일반 교과 학원	일반 교과 학원
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	은평구	구산동	216	343	33	71	170	177	44	60	15	16	52	61	18	27	16	34	1	1	34	71
2016	은평구	대조동	112	112	188	569	98	105	119	199	75	119	86	166	57	162	139	316	1	4	25	73
2016	은평구	응암1동	115	115	99	356	93	94	79	135	39	64	58	111	29	82	32	46	3	15	33	182
2016	은평구	응암2동	85	85	33	70	63	63	34	51	13	17	31	37	9	19	8	11	-	-	10	19
2016	은평구	신사1동	183	336	58	206	127	139	60	87	27	55	61	82	23	48	16	27	-	-	21	77
2016	은평구	신사2동	955	1,282	28	51	112	115	32	41	10	11	35	42	9	23	6	7	-	-	20	53
2016	은평구	증산동	132	763	72	181	99	108	44	62	35	40	41	47	14	41	13	24	1	1	16	41
2016	은평구	수색동	61	61	48	95	71	71	28	33	33	34	23	35	6	14	8	10	2	19	6	10
2016	은평구	진관동	171	339	99	668	101	101	72	105	12	33	47	118	50	205	58	257	-	-	49	134
2016	은평구	불광2동	133	133	106	226	98	100	49	66	34	48	64	85	19	34	23	31	1	1	17	95
